,Class #,Subject,Cat#,Sect#,Course Name,Crdt,Hrs,Instructor,Enr Cap,Days,Time Start,Time End,Room #,Zoom Links
,16959,NSSA,241,60L2,Intro Routing & Switching Lab,,2,Osama Abdulrahman,25,R,1:30 PM,3:30 PM,,
2,17099,NSSA,241,602,Intro Routing & Switching,3,2,,25,M,9:00 AM,11:00 AM,,
,17100,NSSA,241,60L3,Intro Routing & Switching Lab,,2,Osama Abdulrahman,25,W,9:00 AM,11:00 AM,,
2,17550,NSSA,241,603,Intro Routing & Switching,3,2,,25,W,2:35 PM,4:25 PM,,
,17551,NSSA,241,60L4,Intro Routing & Switching Lab,,2,Osama Abdulrahman,25,M,2:35 PM,4:25 PM,,
Sftwr Engnr Minor/CSEC Adv Opt,17505,SWEN,256,600,Software Process and Project Management,3,3,TBD,30,TR,12:00 PM,1:20 PM,,
Sftwr Engnr Minor/CSEC Adv Opt,17053,SWEN,261,600,Intro to Software Engineering,3,3,TBD,30,TR,12:00 PM,1:20 PM,,
,,,,,BS COMPUTING SECURITY,,,,,,,,,
,16943,CSEC,99,600,Coop Education Seminar,0,1,Daswani,30,TBD,TBD,TBD,,
"1,GE",16909,CSEC,140,600,Introduction to Cybersecurity,3,3,Akpinar,30,TR,12:00 PM,1:20 PM,,
,16917,CSEC,140,601,Introduction to Cybersecurity,3,3,Akpinar,30,MWF,11:10 AM,12:05 PM,,
,17102,CSEC,140,602,Introduction to Cybersecurity,3,3,TBD,30,TR,9:00 AM,10:20 AM,,
2,16828,CSEC,201,600,Programming for Information Security,3,3,Saadeh,30,TR,10:30 AM,11:50 AM,,
2,17048,CSEC,201,601,Programming for Information Security,3,3,Saadeh,30,MW,1:05 PM,2:25 PM,,
Adv Opt,16829,CSEC,461,600,Computer System Security,3,2,TBD,25,MW,9:00 AM,11:00 AM,,
Adv Opt,16856,CSEC,461,60L1,Computer System Security Lab,0,,TBD,25,MW,9:00 AM,11:00 AM,,
Adv Opt,17516,CSEC,461,601,Computer System Security,3,2,TBD,25,TR,10:30 AM,12:20 PM,,
Adv Opt,17517,CSEC,461,60L2,Computer System Security Lab,0,,TBD,25,TR,10:30 AM,12:20 PM,,
2,16942,CSCI,462,600,Introduction to cryptograhpy,3,3,Almobaideen,30,MW,1:05 PM,2:25 PM,,
2,17503,CSCI,462,601,Introduction to cryptograhpy,3,3,Almobaideen,30,TR,10:30 AM,11:50 AM,,
,16963,PUBL,363,600,Cyber Policy and Law,3,2,Almobaideen,25,MW,2:35 PM,3:55 PM,,
,17506,PUBL,363,601,Cyber Policy and Law,3,2,Almobaideen,25,TR,12:00 PM,1:20 PM,,
,16945,CSEC,468,600,Risk Management for Information Security ,3,3,TBD,30,TR,1:30 PM,2:50 PM,,
,17518,CSEC,490,600,Capstone in Csec,3,1,Osama Abdulrahman,30,TR,4:30 PM,5:50 PM,,
,16877,CSEC,499,600,Csec Coop,0,0,Almobaideen,30,MW,TBD,TBD,,
,17017,CSEC,499,601,Csec Coop,0,0,Al Hussaeni,30,TBD,TBD,TBD,,
Adv Opt,17058,CSEC,520,600,Cyber Analytics and Machine Learning,3,3,Akpinar,30,MW,4:05 PM,5:25 PM,,
,,,,,BS CIT,,,,,,,,,
,16949,ISTE,99,600,IST 2nd Year Seminar,0,1,Khalil,30,TBD,TBD,TBD,,
2,16797,ISTE,140,600,Web & Mobile I,3,3,Abdul-Latif,30,MW,4:05 PM,5:25 PM,,
2,17051,ISTE,140,601,Web & Mobile I,3,3,Abdul-Latif,30,TR,12:00 PM,1:20 PM,,
2,17532,ISTE,140,602,Web & Mobile I,3,3,Abdul-Latif,30,TR,9:00 AM,10:20 AM,,
3/4 CIT,16950,ISTE,260,600,Designing the User Experience,3,3,TBD,30,TR,3:00 PM,4:20 PM,,
3/4 CIT,17535,ISTE,260,601,Designing the User Experience,3,3,TBD,30,MWF,9:00 AM,9:55 AM,,
04-Mar,16834,ISTE,430,600,Information Requirement Modeling,3,3,Al Hussaeni,30,TR,12:00 PM,1:20 PM,,
04-Mar,17536,ISTE,430,601,Information Requirement Modeling,3,3,Al Hussaeni,30,MW,1:05 PM,2:25 PM,,
CIT Conc,16890,ISTE,470,600,Data Mining and Exploration,3,3,Al Hussaeni,30,MW,2:35 PM,3:55 PM,,
,17018,ISTE,499,601,ISTE Coop,0,N/A,TBD,30,TBD,TBD,TBD,,
4,16798,ISTE,500,600,CIT Senior Devel Project I,3,3,Osama Abdulrahman,30,TR,4:30 PM,5:50 PM,,
,16983,NSSA,102,600,Comp System Concepts,3,2,Jubair,30,MW,9:00 AM,10:50 AM,,
,16984,NSSA,102,60L1,Comp System Concepts Lab,0,,Jubair,30,MW,9:00 AM,10:50 AM,,
,16990,NSSA,102,601,Comp System Concepts,3,2,Jubair,30,TR,3:00 PM,4:50 PM,,
,16991,NSSA,102,60L2,Comp System Concepts Lab,0,,Jubair,30,TR,3:00 PM,4:50 PM,,
2,17545,NSSA,220,600,Task Automation,3,3,Jubair,30,MW,2:35 PM,3:55 PM,,
2,17546,NSSA,220,601,Task Automation,3,3,Jubair,30,TR,12:00 PM,1:20 PM,,
2,,NSSA,220,602,Task Automation,3,3,Saadeh,30,TR,9:00 AM,10:20 AM,,
CIT Conc,16961,NSSA,370,600,Project Management,3,3,TBD,30,MWF,9:00 AM,9:55 AM,,
CIT Conc,16960,NSSA,244,600,Virtualization,3,2,Raza,30,TR,3:00 PM,4:20 PM,,
,,,,,MSC CSEC,,,,,,,,,
,17519,CSEC,751,600,Information Security Policy and Law,3,3,TBD,30,T,6:00 PM,9:00 PM,,
,16970,CSEC,742,600,Computer system security,3,3,TBD,30,W,6:00 PM,9:00 PM,,
,17105,CSEC,790,600,MS Thesis,1-6,N/A,Almobaideen,32,Registration by approval,,,,
,,,,,LIBERAL ARTS,,,,,,,,,
"Glb,IslCult, Imm:Anth,ArbLangCult,Rel",16777,ANTH,275,600,Global Islam,3,3,Haider,30,TR,10:30 AM,11:50 AM,,
"IslCult, Imm:Anth,ArbLangCult,Rel",16778,ANTH,365,600,Culture and Politics in the ME,3,3,Haider,30,MW,2:35 PM,3:55 PM,,
"IslCult, Imm:Anth,ArbLangCult,Rel",16779,ANTH,365,601,Culture and Politics in the ME,3,3,Haider,30,TR,1:30 PM,2:50 PM,,
"IslCult, Imm:Anth,ArbLangCult,Rel",17502,ANTH,365,602,Culture and Politics in the ME,3,3,Razem,30,TR,10:30 AM,11:50 AM,,
Imm:Anth,16780,ANTH,380,600,Nationalism and Identity,3,3,Haider,30,MW,1:05 PM,2:25 PM,,
Bus,16781,COMM,253,600,Communication (WI),3,3,Pitt,25,MW,1:05 PM,2:25 PM,,
Bus,16827,COMM,253,601,Communication (WI),3,3,Pitt,25,TR,12:00 PM,1:20 PM,,
Bus,17086,COMM,253,602,Communication (WI) in Arabic,3,3,Osmanovic,25,MW,2:35 PM,3:55 PM,,
"Glb,Soc",16783,ECON,101,601,Microeconomics,3,3,Aamina,30,MWF,10:05 AM,11:00 AM,,
"Glb,Soc",16921,ECON,101,602,Microeconomics,3,3,Samardzija,30,TR,3:00 PM,4:20 PM,,
"Glb,Soc",16994,ECON,101,603,Microeconomics,3,3,Samardzija,30,TR,4:30 PM,5:50 PM,,
"Glb,Soc, Imm: Econ",17056,ECON,201,600,Macroeconomics,3,3,Modak,30,TR,10:30 AM,11:50 AM,,
Imm:Econ,16784,ECON,405,600,Intl Trade & Finance,3,3,Modak,30,TR,3:00 PM,4:20 PM,,
0,16868,ELCA,62,600,Intro to Academic English,0,4,Mirosh Thomas,20,MW,10:05 AM,11:00 AM,,
,16868,ELCA,"""","""","""",0,4,Mirosh Thomas,20,F,10:05 AM,11:55 AM,,
"Art, Imm:Engl*",16884,ENGL,210,600,"Literature, Culture and Media (WI)",3,3,Calfo,20,MW,4:05 PM,5:25 PM,,
"Art, Imm:Engl*",17041,ENGL,210,601,"Literature, Culture and Media (WI)",3,3,Calfo,20,TR,12:00 PM,1:20 PM,,
"Art, Imm:CrtWr",17042,ENGL,211,600,Intro Creative Writing (WI),3,3,Calfo,20,MW,1:05 PM,2:25 PM,,
"Art,Glb",17047,ENGL,316,600,Global Literature,3,3,Dayton,30,MW,4:05 PM,5:25 PM,,
"Art, Imm: DigLit,CrtWrt",16885,ENGL,376,600,Experimental Writing,3,3,Calfo,20,TR,9:00 AM,10:20 AM,,
"Soc, Imm:Hist",16832,HIST,104,600,Themes in Euro Hist: The Viking Age,3,3,Dayton,30,MW,1:05 PM,2:25 PM,,
Glb,17043,HIST,150,600,World History since 1500,3,3,Dayton,30,TR,3:00 PM,4:20 PM,,
"Art,Glb, Imm: Hist, FrLangCult",16887,HIST,275,600,Screening the Trenches,3,3,Dayton,30,TR,4:30 PM,5:50 PM,,
,17060,MLAR,30,600,Introduction to Arabic,0,,Osmanovic,30,OL,OL,OL,,
"Glb, Imm:ArbLangCult",16785,MLAR,201,600,Beginning Arabic I,4,4,Osmanovic,25,MW,10:00 AM,11:50 AM,,
"Glb, Imm:ArbLangCult",16786,MLAR,201,601,Beginning Arabic I,4,4,Osmanovic,25,TR,3:00 PM,4:50 PM,,
"Glb, Imm:FrLangCult",16788,MLFR,201,600,Beginning French I,4,4,Kadi,25,TR,9:00 AM,10:50 AM,,
